ID	 sex	CentSize	SF	IF	SP	IP	T	O	LOS	PCS	CS	SyF	STS	POS	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
100	1	421.4663118	29.34969802	20.86306719	14.63521196	24.60884143	31.402269	10.24807897	6.070059959	6.837639532	18.65561833	20.82276457	29.58659214	17.31687463	0.05283	-0.00139	0.00576	-0.03371	-0.0045	-0.0039	-0.01617	0.00717	-0.00731	-0.00609
101	2	382.4014326	31.58182014	24.69640633	15.87608573	21.59010121	30.11778095	9.088949705	7.48136909	6.946032445	19.04696048	21.00362171	31.02880484	17.22585357	0.02739	0.02763	-0.02944	0.00043	-0.00559	-0.01146	0.00733	-0.01134	-0.00564	0.0008
102	1	427.494204	29.89659149	22.08918911	14.91536387	25.23558446	31.65821267	12.96220418	7.225741073	7.406076963	18.89680869	19.79737727	27.87549743	19.4856286	-0.00977	0.00567	0.03183	0.01035	-0.00418	0.00251	0.0024	0.00302	-0.02014	-0.00894
103	2	388.2647529	32.04792597	24.06107239	13.6280186	22.67784853	31.02929169	12.4637236	8.08560691	7.22020448	20.25296035	17.80252498	29.06118002	18.84012735	-0.01246	-0.02699	-0.011	-0.02278	-0.00093	0.01301	0.018	0.0077	0.00707	-0.01045
104	2	388.1772356	29.1152771	23.67733116	14.57682739	22.3970759	30.84152872	13.02542802	7.711806504	6.906202105	19.59060896	18.58124386	29.78163589	18.56354593	0.01335	-0.01018	-0.00257	-0.00999	-0.01269	0.00145	0.01456	-0.00176	-0.00048	-0.00131
105	1	420.4158089	30.52355287	22.00093663	15.13830907	24.39762549	31.82664103	10.81089412	6.523791197	7.431669488	19.61087214	20.75408189	31.57359001	16.65030062	-0.00599	0.04297	0.00278	-0.03665	-0.01947	0.00927	-0.00478	0.00984	-0.00646	0.00545
106	2	405.3798378	31.26349826	23.89660582	16.50894583	22.43980714	30.38358876	10.3805263	5.023260037	5.778432446	19.41639572	22.11196127	31.13414512	17.10506367	-0.00082	0.03317	-0.01754	0.02239	-0.00671	0.00243	-0.00791	0.02081	-0.02829	-0.01347
107	1	395.4409828	31.55570714	22.87498504	12.15017217	23.23464159	30.31235712	9.65086273	5.802876028	7.360787162	19.63954686	20.06260823	30.41908299	17.8732067	0.01177	0.00743	-0.01772	-0.00071	0.00008	-0.00775	-0.02163	-0.00993	0.02078	0.01855
108	2	381.6795785	29.7396272	22.51753372	13.65166641	24.21435447	30.74108106	12.97229641	7.824497338	8.793703416	20.56418711	17.2300418	27.60388658	18.39165583	-0.01088	-0.04508	0.0109	-0.00309	-0.00521	-0.00925	0.03579	0.00324	0.01469	0.00031
109	1	390.4124557	31.51311595	22.39529312	13.65778299	23.61425389	32.19490053	9.246038826	8.495535559	9.679125244	20.66912668	19.15015022	30.8275945	17.32463685	0.00099	-0.00346	-0.00336	-0.00616	0.01002	-0.02466	-0.01443	-0.0132	0.01494	0.00048
110	2	397.5411453	30.41077005	22.59390536	15.67476753	23.93404527	29.80497128	11.64237741	4.629606914	6.785383937	19.96209729	20.42084886	29.83067907	18.28328832	0.02131	0.01759	-0.00755	0.01872	-0.02943	0.0499	-0.01459	0.01704	0.01197	0.0022
111	2	387.7819642	30.86696343	24.17936849	13.87321264	23.13128674	31.0950589	12.95356628	7.6265014	8.554299218	19.49053139	18.00090199	29.40511214	18.19687614	-0.00565	-0.00281	0.00367	-0.01392	0.01778	-0.01054	0.02693	-0.00002	0.02577	-0.0052
112	2	363.3997099	31.13121495	21.85544136	16.52846658	25.88706338	32.79486465	8.981259178	7.566997898	8.638514631	21.84324368	14.73937482	30.05359543	16.51511833	-0.03893	-0.03872	0.05504	0.00395	0.00931	0.00082	-0.01578	0.00835	0.00836	0.01137
113	2	401.7823204	30.29258003	22.92021992	16.60536142	23.64414598	29.82374059	9.2208697	5.739534509	6.461258546	20.04585943	19.3646083	29.56813761	17.20084359	0.0178	0.02101	0.00085	-0.00309	-0.00639	-0.01589	-0.01623	-0.00072	-0.01454	0.03319
114	1	420.3279947	29.90341084	22.84562289	15.48263274	23.37840465	30.00535778	9.645446544	8.554637285	9.740146013	20.67989594	19.73120686	29.53930461	16.98510529	-0.00622	-0.00265	0.00531	-0.01487	-0.00735	-0.00092	-0.00425	-0.01948	-0.0084	-0.01424
115	1	402.8228854	30.44586976	22.35332606	14.15020539	23.61772059	30.81580116	10.81206036	6.388823348	7.251388777	21.0171716	18.87519503	27.36208552	17.02724249	-0.01871	-0.02168	-0.01652	-0.00109	-0.02625	-0.01734	0.01442	0.01367	0.00494	0.00094
